Timestamp,Filename,DB_Before,numberOfTriples_Before,http://www.w3.org/1999/02/22-rdf-syntax-ns#langString_Before,http://www.w3.org/2001/XMLSchema#boolean_Before,http://www.w3.org/2001/XMLSchema#dateTime_Before,http://www.w3.org/2001/XMLSchema#integer_Before,http://www.w3.org/2001/XMLSchema#nonNegativeInteger_Before,http://www.w3.org/2001/XMLSchema#string_Before,DB_After,numberOfTriples_After,http://www.w3.org/1999/02/22-rdf-syntax-ns#langString_After,http://www.w3.org/2001/XMLSchema#boolean_After,http://www.w3.org/2001/XMLSchema#dateTime_After,http://www.w3.org/2001/XMLSchema#integer_After,http://www.w3.org/2001/XMLSchema#nonNegativeInteger_After,http://www.w3.org/2001/XMLSchema#string_After
2025-09-03 14:26:37,res-5000_val-13_boolean.xml,24M,3476,668,129,3,4,270,281,5.8G,688476,668,135129,70003,65004,270,205281
2025-09-03 14:37:31,res-5000_val-13_color.xml,24M,3476,668,129,3,4,270,281,6.6G,688476,668,70129,70003,65004,270,270281
2025-09-03 14:44:25,res-5000_val-13_date.xml,24M,3476,668,129,3,4,270,281,7.7G,948476,668,70129,70003,195004,270,400281
2025-09-03 14:52:45,res-5000_val-13_decimal.xml,24M,3476,668,129,3,4,270,281,6.8G,688476,668,70129,70003,65004,270,205281
2025-09-03 14:59:39,res-5000_val-13_every_type.xml,24M,3476,668,129,3,4,270,281,13G,768483,668,75130,75004,105004,270,235283
2025-09-03 15:11:43,res-5000_val-13_geoname.xml,24M,3476,668,129,3,4,270,281,6.6G,688476,668,70129,70003,65004,270,270281
2025-09-03 15:18:49,res-5000_val-13_int.xml,24M,3476,668,129,3,4,270,281,6.7G,688476,668,70129,70003,130004,270,205281
2025-09-03 15:25:49,res-5000_val-13_link.xml,24M,3476,668,129,3,4,270,281,13G,948567,668,70142,70016,130004,270,205307
2025-09-03 15:34:02,res-5000_val-13_list.xml,24M,3476,668,129,3,4,270,281,6.8G,688476,668,70129,70003,65004,270,205281
2025-09-03 15:41:16,res-5000_val-13_richtext-standoff-formatting.xml,24M,3476,668,129,3,4,270,281,12G,1663476,668,70129,70003,520004,270,335281
2025-09-03 15:50:45,res-5000_val-13_richtext-standoff-resource-link.xml,24M,3476,668,129,3,4,270,281,21G,2573567,668,135142,135016,585004,270,530307
2025-09-03 16:03:34,res-5000_val-13_richtext-standoff-uri.xml,24M,3476,668,129,3,4,270,281,12G,1728476,668,70129,70003,520004,270,335281
2025-09-03 16:12:50,res-5000_val-13_richtext.xml,24M,3476,668,129,3,4,270,281,9.4G,1208476,668,70129,70003,325004,270,270281
2025-09-03 16:21:30,res-5000_val-13_simpletext.xml,24M,3476,668,129,3,4,270,281,6.8G,688476,668,70129,70003,65004,270,205281
2025-09-03 16:28:26,res-5000_val-13_textarea.xml,24M,3476,668,129,3,4,270,281,6.8G,688476,668,70129,70003,65004,270,205281
2025-09-03 16:35:28,res-5000_val-13_time.xml,24M,3476,668,129,3,4,270,281,6.8G,688476,668,70129,135003,65004,270,205281
2025-09-03 16:42:19,res-5000_val-13_uri.xml,24M,3476,668,129,3,4,270,281,6.8G,688476,668,70129,70003,65004,270,205281
